 Year , USA  , CAN  , WEU  , JPK  , ANZ  , EEU  , FSU  , MDE  , CAM  , SAM  , SAS  , SEA  , CHI  , NAF  , SSA  , SIS  
 1950 , 0.57 , 0.44 , 0.79 , 0.60 , 0.49 , 0.70 , 0.62 , 0.25 , 0.27 , 0.33 , 0.34 , 0.35 , 0.43 , 0.31 , 0.28 , 0.43 
 1960 , 0.67 , 0.57 , 0.84 , 0.69 , 0.61 , 0.79 , 0.74 , 0.32 , 0.36 , 0.43 , 0.42 , 0.43 , 0.51 , 0.39 , 0.34 , 0.52 
 1970 , 0.75 , 0.68 , 0.91 , 0.79 , 0.73 , 0.86 , 0.83 , 0.43 , 0.50 , 0.56 , 0.53 , 0.55 , 0.65 , 0.50 , 0.44 , 0.64 
 1980 , 0.83 , 0.79 , 0.94 , 0.89 , 0.81 , 0.94 , 0.91 , 0.58 , 0.66 , 0.70 , 0.67 , 0.69 , 0.78 , 0.64 , 0.58 , 0.75 
 1990 , 0.91 , 0.89 , 0.97 , 0.96 , 0.87 , 0.99 , 0.99 , 0.80 , 0.82 , 0.85 , 0.83 , 0.85 , 0.90 , 0.82 , 0.77 , 0.87 
 2000 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
 2010 , 1.06 , 1.07 , 1.03 , 1.04 , 1.07 , 1.01 , 1.01 , 1.16 , 1.19 , 1.18 , 1.14 , 1.12 , 1.09 , 1.20 , 1.23 , 1.17 
 2020 , 1.11 , 1.12 , 1.07 , 1.08 , 1.12 , 1.02 , 1.02 , 1.26 , 1.40 , 1.38 , 1.23 , 1.21 , 1.18 , 1.41 , 1.45 , 1.37 
 2030 , 1.14 , 1.15 , 1.11 , 1.12 , 1.15 , 1.02 , 1.02 , 1.31 , 1.57 , 1.54 , 1.29 , 1.27 , 1.23 , 1.58 , 1.62 , 1.53 
 2040 , 1.16 , 1.18 , 1.13 , 1.14 , 1.18 , 1.01 , 1.01 , 1.33 , 1.69 , 1.67 , 1.30 , 1.28 , 1.24 , 1.70 , 1.75 , 1.65 
 2050 , 1.18 , 1.19 , 1.14 , 1.15 , 1.19 , 0.98 , 0.98 , 1.30 , 1.78 , 1.75 , 1.28 , 1.26 , 1.22 , 1.79 , 1.84 , 1.74 
 2060 , 1.19 , 1.20 , 1.15 , 1.16 , 1.20 , 0.95 , 0.94 , 1.24 , 1.80 , 1.78 , 1.21 , 1.20 , 1.16 , 1.81 , 1.86 , 1.76 
 2070 , 1.19 , 1.20 , 1.15 , 1.16 , 1.20 , 0.91 , 0.90 , 1.17 , 1.80 , 1.77 , 1.14 , 1.13 , 1.09 , 1.81 , 1.86 , 1.76 
 2080 , 1.20 , 1.21 , 1.16 , 1.17 , 1.21 , 0.87 , 0.86 , 1.07 , 1.75 , 1.72 , 1.05 , 1.03 , 1.00 , 1.75 , 1.80 , 1.70 
 2090 , 1.20 , 1.22 , 1.17 , 1.18 , 1.22 , 0.82 , 0.82 , 0.96 , 1.66 , 1.63 , 0.94 , 0.93 , 0.90 , 1.67 , 1.71 , 1.62 
 2100 , 1.21 , 1.22 , 1.17 , 1.18 , 1.22 , 0.78 , 0.78 , 0.87 , 1.58 , 1.55 , 0.85 , 0.84 , 0.82 , 1.59 , 1.63 , 1.54 
 2110 , 1.22 , 1.23 , 1.18 , 1.19 , 1.23 , 0.75 , 0.75 , 0.79 , 1.51 , 1.48 , 0.77 , 0.76 , 0.74 , 1.51 , 1.55 , 1.47 
 2120 , 1.23 , 1.24 , 1.19 , 1.20 , 1.24 , 0.72 , 0.72 , 0.72 , 1.44 , 1.42 , 0.71 , 0.70 , 0.68 , 1.45 , 1.49 , 1.41 
 2130 , 1.23 , 1.24 , 1.19 , 1.20 , 1.24 , 0.69 , 0.69 , 0.67 , 1.39 , 1.37 , 0.66 , 0.65 , 0.63 , 1.40 , 1.43 , 1.36 
 2140 , 1.24 , 1.25 , 1.20 , 1.21 , 1.25 , 0.67 , 0.67 , 0.63 , 1.34 , 1.32 , 0.61 , 0.60 , 0.59 , 1.35 , 1.39 , 1.31 
 2150 , 1.24 , 1.25 , 1.20 , 1.21 , 1.25 , 0.65 , 0.65 , 0.59 , 1.31 , 1.29 , 0.58 , 0.57 , 0.55 , 1.31 , 1.35 , 1.28 
 2160 , 1.24 , 1.25 , 1.20 , 1.21 , 1.25 , 0.64 , 0.64 , 0.56 , 1.28 , 1.26 , 0.55 , 0.55 , 0.53 , 1.28 , 1.32 , 1.25 
 2170 , 1.25 , 1.26 , 1.21 , 1.22 , 1.26 , 0.63 , 0.63 , 0.54 , 1.25 , 1.24 , 0.53 , 0.53 , 0.51 , 1.26 , 1.30 , 1.23 
 2180 , 1.25 , 1.26 , 1.21 , 1.22 , 1.26 , 0.62 , 0.62 , 0.53 , 1.24 , 1.22 , 0.52 , 0.51 , 0.50 , 1.25 , 1.28 , 1.21 
 2190 , 1.25 , 1.26 , 1.21 , 1.22 , 1.26 , 0.61 , 0.61 , 0.52 , 1.23 , 1.21 , 0.51 , 0.50 , 0.49 , 1.24 , 1.27 , 1.20 
 2200 , 1.25 , 1.26 , 1.21 , 1.22 , 1.26 , 0.61 , 0.61 , 0.52 , 1.23 , 1.21 , 0.51 , 0.50 , 0.49 , 1.23 , 1.27 , 1.20 
 2210 , 1.25 , 1.26 , 1.21 , 1.22 , 1.26 , 0.61 , 0.61 , 0.52 , 1.23 , 1.21 , 0.51 , 0.50 , 0.49 , 1.23 , 1.27 , 1.20 
 2220 , 1.25 , 1.26 , 1.21 , 1.22 , 1.26 , 0.61 , 0.61 , 0.52 , 1.23 , 1.21 , 0.51 , 0.50 , 0.49 , 1.23 , 1.27 , 1.20 
 2230 , 1.25 , 1.26 , 1.21 , 1.22 , 1.26 , 0.61 , 0.61 , 0.52 , 1.23 , 1.21 , 0.51 , 0.50 , 0.49 , 1.23 , 1.27 , 1.20 
 2240 , 1.25 , 1.26 , 1.21 , 1.22 , 1.26 , 0.61 , 0.61 , 0.52 , 1.23 , 1.21 , 0.51 , 0.50 , 0.49 , 1.23 , 1.27 , 1.20 
 2250 , 1.25 , 1.26 , 1.21 , 1.22 , 1.26 , 0.61 , 0.61 , 0.52 , 1.23 , 1.21 , 0.51 , 0.50 , 0.49 , 1.23 , 1.27 , 1.20 
 2260 , 1.25 , 1.26 , 1.21 , 1.22 , 1.26 , 0.61 , 0.61 , 0.52 , 1.23 , 1.21 , 0.51 , 0.50 , 0.49 , 1.23 , 1.27 , 1.20 
 2270 , 1.25 , 1.26 , 1.21 , 1.22 , 1.26 , 0.61 , 0.61 , 0.52 , 1.23 , 1.21 , 0.51 , 0.50 , 0.49 , 1.23 , 1.27 , 1.20 
 2280 , 1.25 , 1.26 , 1.21 , 1.22 , 1.26 , 0.61 , 0.61 , 0.52 , 1.23 , 1.21 , 0.51 , 0.50 , 0.49 , 1.23 , 1.27 , 1.20 
 2290 , 1.25 , 1.26 , 1.21 , 1.22 , 1.26 , 0.61 , 0.61 , 0.52 , 1.23 , 1.21 , 0.51 , 0.50 , 0.49 , 1.23 , 1.27 , 1.20 
 2300 , 1.25 , 1.26 , 1.21 , 1.22 , 1.26 , 0.61 , 0.61 , 0.52 , 1.23 , 1.21 , 0.51 , 0.50 , 0.49 , 1.23 , 1.27 , 1.20 
